"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","rt","stimulus","response","task","correct_response","correct"
"","","","","","html-keyboard-response","52","2.0.0","115562","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","53","2.0.0","116569","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","54","2.0.0","120192","purc2c07up1","3620","stimuli/27_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","55","2.0.0","120695","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","56","2.0.0","121702","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","57","2.0.0","126014","purc2c07up1","4308","stimuli/28_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","58","2.0.0","126515","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","59","2.0.0","127518","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","60","2.0.0","131450","purc2c07up1","3930","stimuli/18_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","61","2.0.0","131952","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","62","2.0.0","132960","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","63","2.0.0","134954","purc2c07up1","1992","stimuli/19_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","64","2.0.0","135456","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","65","2.0.0","136458","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","66","2.0.0","139739","purc2c07up1","3278","stimuli/9_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","67","2.0.0","140241","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","68","2.0.0","141246","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","69","2.0.0","144366","purc2c07up1","3118","stimuli/38_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","70","2.0.0","144871","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","71","2.0.0","145878","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","72","2.0.0","147259","purc2c07up1","1379","stimuli/1_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","73","2.0.0","147761","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","74","2.0.0","148767","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","75","2.0.0","150752","purc2c07up1","1983","stimuli/5_150_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","76","2.0.0","151255","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","77","2.0.0","152262","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","78","2.0.0","154389","purc2c07up1","2126","stimuli/24_150_R.jpg","f","response","j","false"
"","","","","","html-keyboard-response","79","2.0.0","154894","purc2c07up1","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","80","2.0.0","155902","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","81","2.0.0","160026","purc2c07up1","4122","stimuli/40_100_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","82","2.0.0","160529","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","83","2.0.0","161536","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","84","2.0.0","164495","purc2c07up1","2956","stimuli/44_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","85","2.0.0","164999","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","86","2.0.0","166005","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","87","2.0.0","168357","purc2c07up1","2350","stimuli/9_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","88","2.0.0","168861","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","89","2.0.0","169866","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","90","2.0.0","174232","purc2c07up1","4363","stimuli/25_100_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","91","2.0.0","174735","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","92","2.0.0","175742","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","93","2.0.0","177623","purc2c07up1","1877","stimuli/2_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","94","2.0.0","178128","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","95","2.0.0","179131","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","96","2.0.0","182916","purc2c07up1","3783","stimuli/35_150_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","97","2.0.0","183420","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","98","2.0.0","184423","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","99","2.0.0","187193","purc2c07up1","2768","stimuli/10_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","100","2.0.0","187697","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","101","2.0.0","188701","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","102","2.0.0","191012","purc2c07up1","2306","stimuli/37_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","103","2.0.0","191514","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","104","2.0.0","192519","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","105","2.0.0","196001","purc2c07up1","3478","stimuli/45_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","106","2.0.0","196506","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","107","2.0.0","197513","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","108","2.0.0","202776","purc2c07up1","5260","stimuli/46_100_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","109","2.0.0","203281","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","110","2.0.0","204288","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","111","2.0.0","206800","purc2c07up1","2509","stimuli/27_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","112","2.0.0","207304","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","113","2.0.0","208311","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","114","2.0.0","209424","purc2c07up1","1110","stimuli/15_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","115","2.0.0","209927","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","116","2.0.0","210931","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","117","2.0.0","214658","purc2c07up1","3724","stimuli/2_150_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","118","2.0.0","215160","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","119","2.0.0","216165","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","120","2.0.0","217297","purc2c07up1","1129","stimuli/12_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","121","2.0.0","217801","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","122","2.0.0","218809","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","123","2.0.0","220512","purc2c07up1","1700","stimuli/47_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","124","2.0.0","221015","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","125","2.0.0","222021","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","126","2.0.0","223647","purc2c07up1","1624","stimuli/12_150.jpg","j","response","f","false"
"","","","","","html-keyboard-response","127","2.0.0","224151","purc2c07up1","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","128","2.0.0","225156","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","129","2.0.0","227427","purc2c07up1","2268","stimuli/42_100_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","130","2.0.0","227929","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","131","2.0.0","228937","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","132","2.0.0","230096","purc2c07up1","1157","stimuli/8_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","133","2.0.0","230599","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","134","2.0.0","231604","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","135","2.0.0","233781","purc2c07up1","2175","stimuli/37_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","136","2.0.0","234284","purc2c07up1","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","137","2.0.0","235291","purc2c07up1","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","138","2.0.0","236782","purc2c07up1","1488","stimuli/23_50.jpg","f","response","f","true"
